Ticker,Tipo,Data Com,Pagamento,Valor,Segmento,Tipo da Gestão,Público-alvo,Rendimento Médio 24M,Taxa Administração,Liquidez Média Diária,Participação IFIX
BTAG11,AMORTIZAÇÃO,2025-02-07,19/02/2025,595.0,Indefinido,,,,- % a.a,"43.437,20",
BTAG11,RENDIMENTO,2025-01-08,15/01/2025,8.05,Indefinido,,,,- % a.a,"43.437,20",
BTAG11,RENDIMENTO,2024-12-06,13/12/2024,8.05,Indefinido,,,,- % a.a,"43.437,20",
BTAL11,,,,,,,,,,,
BTCI11,,,,,,,,,,,
BTHF11,,,,,,,,,,,
BTHI11,,,,,,,,,,,
BTLG11,,,,,,,,,,,
BTML11,,,,,,,,,,,
BTRA11,,,,,,,,,,,
BTSG11,,,,,,,,,,,
BTSI11,,,,,,,,,,,
BTWR11,,,,,,,,,,,
BTYU11,,,,,,,,,,,
BVAR11,,,,,,,,,,,
BZEL11,,,,,,,,,,,
CACR11,,,,,,,,,,,
CARE11,,,,,,,,,,,
CBOP11,,,,,,,,,,,
CCME11,,,,,,,,,,,
CCVA11,,,,,,,,,,,
CDII11,,,,,,,,,,,
CENU11,,,,,,,,,,,
CEOC11,,,,,,,,,,,
CFHI11,,,,,,,,,,,
CFII11,,,,,,,,,,,
CIXF11,,,,,,,,,,,
CIXM11,,,,,,,,,,,
CIXR11,,,,,,,,,,,
CJCT11,,,,,,,,,,,
CJFI11,,,,,,,,,,,
CLIN11,,,,,,,,,,,
CNES11,,,,,,,,,,,
CPFF11,,,,,,,,,,,
CPHH11,,,,,,,,,,,
CPLG11,,,,,,,,,,,
CPOF11,,,,,,,,,,,
CPSH11,,,,,,,,,,,
CPTI11,,,,,,,,,,,
CPTR11,RENDIMENTO,2025-06-11,18/06/2025,0.11,Indefinido,,,,- % a.a,"256.955,85",
CPTR11,RENDIMENTO,2025-05-13,20/05/2025,0.1,Indefinido,,,,- % a.a,"256.955,85",
CPTR11,RENDIMENTO,2025-04-10,17/04/2025,0.1,Indefinido,,,,- % a.a,"256.955,85",
CPTR11,RENDIMENTO,2025-03-14,21/03/2025,0.085,Indefinido,,,,- % a.a,"256.955,85",
CPTR11,RENDIMENTO,2025-02-12,19/02/2025,0.067,Indefinido,,,,- % a.a,"256.955,85",
CPTR11,RENDIMENTO,2024-09-11,18/09/2024,0.1,Indefinido,,,,- % a.a,"256.955,85",
CPTR11,RENDIMENTO,2024-08-12,19/08/2024,0.1,Indefinido,,,,- % a.a,"256.955,85",
CPTS11,,,,,,,,,,,
CPUR11,,,,,,,,,,,
CRAA11,RENDIMENTO,2025-07-07,14/07/2025,1.25,Indefinido,,,,- % a.a,"740.154,30",
